nr_pessoa_juridica,status_diferenciada,status_especial,Porte_Grande,Porte_Médio,Porte_Pequeno,cluster
27018624,0,0,0,0,1,0
12048428,0,0,0,0,1,0
18107915,0,0,0,0,1,0
27360348,0,0,0,0,1,1
15969714,0,0,0,0,1,1
7109278,0,0,0,0,1,0
323508,0,0,0,0,1,0
17817633,0,0,0,0,1,3
18260326,0,0,0,0,1,0
10111343,0,0,0,0,1,0
499038,0,0,0,0,1,3
1066004,0,0,0,0,1,0
9972489,0,0,0,0,1,0
12222722,0,0,0,0,1,0
32802688,0,0,0,0,1,3
14081954,0,0,0,0,1,2
24081017,0,0,0,0,1,3
3253566,0,0,0,0,1,0
26627505,0,0,0,0,1,0
35305789,0,0,0,0,1,3
4043292,0,0,0,0,1,3
8798089,0,0,0,0,1,3
17714544,0,0,0,0,1,1
22563696,0,0,0,0,1,0
22312397,0,0,0,0,1,1
11223329,0,0,0,0,1,0
20099234,0,0,0,0,1,0
1781485,0,0,0,0,1,0
39019978,0,0,0,0,1,3
20438983,0,0,0,0,1,0
27663339,0,0,0,0,1,3
26897590,0,0,0,0,1,3
3892600,0,0,0,0,1,0
23590441,0,0,0,0,1,0
3443491,0,0,0,0,1,0
32359568,0,0,0,0,1,3
24453135,0,0,0,0,1,0
3048011,0,0,0,0,1,0
4559646,0,0,0,0,1,0
23597387,0,0,0,0,1,3
3873613,0,0,0,0,1,1
2368119,0,0,0,0,1,2
14150049,0,0,0,0,1,0
10029459,0,0,0,0,1,1
1461874,0,0,0,0,1,1
28491816,0,0,0,0,1,1
26953345,0,0,0,0,1,0
37840662,0,0,0,0,1,1
8021846,0,0,0,0,1,0
8905291,0,0,0,0,1,0
17363662,0,0,0,0,1,0
19591706,0,0,0,0,1,0
37561622,0,0,0,0,1,1
2856025,0,0,0,0,1,2
30639583,0,0,0,0,1,3
14731529,0,0,0,0,1,3
2156875,0,0,0,0,1,1
14943573,0,0,0,0,1,0
9166044,0,0,0,0,1,3
10363403,0,0,0,0,1,0
10520763,0,0,0,0,1,0
17698295,0,0,0,0,1,0
9695864,0,0,0,0,1,0
16657763,0,0,0,1,0,2
10563724,0,0,0,0,1,1
25692674,0,0,0,0,1,3
164472,0,0,0,0,1,0
25448978,0,0,0,0,1,3
9510872,0,0,0,0,1,0
15722355,0,0,0,0,1,0
15716794,0,0,0,0,1,0
22478023,0,0,0,0,1,0
16547097,0,0,0,0,1,3
12123426,0,0,0,1,0,2
459530,0,0,0,0,1,0
4435291,0,0,0,0,1,3
29433140,0,0,0,0,1,3
3626971,0,0,0,0,1,0
369947,0,0,0,0,1,0
42439784,0,0,0,0,1,0
96454,0,0,0,0,1,0
18815636,0,0,0,0,1,0
1792013,0,0,0,0,1,0
17543501,0,0,0,0,1,0
4635701,0,0,0,0,1,0
21917769,0,0,0,0,1,0
6452722,0,0,0,0,1,0
7229227,0,0,0,0,1,3
16201641,0,0,0,0,1,3
35616246,0,0,0,0,1,3
8998182,0,0,0,0,1,0
30876240,0,0,0,0,1,0
289133,0,0,0,0,1,0
31609860,0,0,0,0,1,1
22071475,0,0,0,0,1,3
16347369,0,0,0,0,1,3
10334759,0,0,0,0,1,0
19668939,0,0,0,0,1,3
1705384,0,0,0,0,1,0
16737918,0,0,0,0,1,1
1961146,0,0,0,0,1,0
3191976,0,0,0,0,1,0
2168836,0,0,0,0,1,0
30914954,0,0,0,0,1,1
21800179,0,0,0,0,1,1
20422655,0,0,0,0,1,3
16260226,0,0,0,0,1,0
2360895,0,0,0,0,1,3
8726197,0,0,0,0,1,0
21854299,0,0,0,0,1,3
9513126,0,0,0,0,1,2
18216196,0,0,0,0,1,0
1396457,0,0,0,0,1,0
11417154,0,0,0,0,1,0
20126016,0,0,0,0,1,3
10260888,0,0,0,0,1,1
25898322,0,0,0,0,1,3
4177984,0,0,0,0,1,2
12766526,0,0,0,0,1,3
20419270,0,0,0,0,1,0
9138722,0,0,0,0,1,3
9145441,0,0,0,0,1,2
11277846,0,0,0,0,1,0
15467714,0,0,0,0,1,2
15076263,0,0,0,0,1,0
11806794,0,0,0,0,1,0
9627451,0,0,0,0,1,0
14636319,0,0,0,0,1,0
15869501,0,0,0,0,1,0
39223445,0,0,0,0,1,3
22796505,0,0,0,0,1,0
1930027,0,0,0,0,1,0
10000762,0,0,0,0,1,0
10481640,0,0,0,0,1,0
2286255,0,0,0,0,1,3
17545508,0,0,0,0,1,3
2283150,0,0,0,0,1,0
2174310,0,0,0,0,1,2
11867144,0,0,0,1,0,2
6789173,0,0,0,0,1,0
167058,0,0,0,0,1,0
5643896,0,0,0,0,1,0
9528067,0,0,0,0,1,0
11669630,0,0,0,0,1,0
6220290,0,0,0,0,1,0
39818429,0,0,0,0,1,0
27077421,0,0,0,0,1,3
14279136,0,0,0,0,1,0
36452294,0,0,0,0,1,1
4561512,0,0,0,0,1,0
20871882,0,0,0,0,1,0
35436684,0,0,0,0,1,1
23832516,0,0,0,0,1,3
6264015,0,0,0,0,1,0
1491756,0,0,0,0,1,0
24428892,0,0,0,0,1,0
1580279,0,0,0,0,1,2
11113171,0,0,0,0,1,0
24142945,0,0,0,0,1,3
29231644,0,0,0,0,1,0
14471682,1,0,1,0,0,2
776043,0,0,0,0,1,0
30693411,0,0,0,0,1,0
28417204,0,0,0,0,1,2
3802407,0,0,0,0,1,1
1817775,0,0,0,0,1,0
3155076,0,0,0,0,1,0
27912444,0,0,0,0,1,0
16963219,0,0,0,0,1,3
37005788,0,0,0,0,1,1
35118980,0,0,0,0,1,3
5161097,0,0,0,0,1,0
31909089,0,0,0,0,1,3
16892640,0,0,0,0,1,2
17283491,0,0,0,0,1,1
14084478,0,0,0,0,1,0
21607735,0,0,0,0,1,0
4430463,0,0,0,0,1,0
22662428,0,0,0,0,1,0
9522407,0,0,0,0,1,2
17305393,0,0,0,0,1,0
8332990,0,0,0,0,1,2
25457999,0,0,0,0,1,1
16167773,0,0,0,0,1,0
35540169,0,0,0,0,1,3
14543356,0,0,0,0,1,1
3734759,0,0,0,0,1,0
3159994,0,0,0,0,1,0
16981881,0,0,0,0,1,0
12616724,0,0,0,0,1,1
15084714,0,0,0,0,1,2
7465383,0,0,0,1,0,3
7548399,0,0,0,0,1,0
35279644,0,0,0,0,1,3
16779863,0,0,0,0,1,3
14898885,0,0,0,0,1,0
9541815,0,0,0,0,1,2
2933449,0,0,0,0,1,0
20742300,0,0,0,0,1,3
14335105,0,0,0,0,1,0
14065612,0,0,0,0,1,0
3771854,0,0,0,0,1,0
8762190,0,0,0,0,1,1
19008524,0,0,0,1,0,2
15733073,0,0,0,0,1,0
20876319,0,0,0,0,1,3
1201829,0,0,0,0,1,0
3791975,0,0,0,0,1,0
2451756,0,0,0,0,1,0
14769923,0,0,0,0,1,3
28151055,0,0,0,0,1,0
16430683,0,0,0,0,1,2
25894451,0,0,0,0,1,0
34365038,0,0,0,0,1,3
38724997,0,0,0,0,1,0
21420786,0,0,0,0,1,1
15031513,0,0,0,0,1,2
9469454,0,0,0,0,1,0
41620863,0,0,0,0,1,0
3607099,0,0,0,0,1,0
27168229,0,0,0,0,1,2
33981435,0,0,0,0,1,3
16194553,0,0,0,0,1,0
2255154,0,0,0,1,0,2
7509176,0,0,0,0,1,3
3484001,0,0,0,0,1,3
9585405,0,0,0,0,1,0
805013,0,0,0,0,1,1
2782503,0,0,0,1,0,2
18081850,0,0,0,0,1,3
2124762,0,0,0,0,1,2
15949061,0,0,0,0,1,0
118449,0,0,0,0,1,0
10935044,0,0,0,0,1,0
2479105,0,0,0,0,1,0
19858991,0,0,0,0,1,3
10847185,1,1,1,0,0,2
33637712,0,0,0,0,1,1
12087094,0,0,0,0,1,0
40719844,0,0,0,0,1,0
21261910,0,0,0,0,1,0
35845425,0,0,0,0,1,3
9489671,0,0,0,0,1,0
26306065,0,0,0,0,1,2
20009755,0,0,0,0,1,3
14417194,0,0,0,0,1,0
7212021,0,0,0,0,1,0
28004272,0,0,0,0,1,1
3939634,0,0,0,1,0,2
3650692,0,0,0,0,1,0
18974068,0,0,0,0,1,2
9186864,0,0,0,0,1,0
10821871,0,0,0,0,1,1
3121904,0,0,0,0,1,0
15021539,0,0,0,0,1,1
12820779,0,0,0,0,1,3
3721308,0,0,0,0,1,0
22353402,0,0,0,0,1,0
