mes,debitos,arrecadacao
200401,7472665.21,24292254.98
200402,15992826.63,20243261.18
200403,14035100.35,21503893.13
200404,26344116.48,27743614.22
200405,16300643.64,27665574.88
200406,14513334.14,28449577.71
200407,28615256.55,32201565.39
200408,15948970.28,34787089.96
200409,17532215.81,37284767.93
200410,29586026.28,41406878.18
200411,18183252.34,36831649.97
200412,18391567.40,45808399.70
200501,36692674.95,43789355.30
200502,18717839.03,28585072.70
200503,15195023.26,26794290.27
200504,30353643.53,35417908.18
200505,21731658.41,35050371.68
200506,20923099.56,36853780.92
200507,29935267.16,39256263.52
200508,22339702.32,38846167.59
200509,24055058.53,41471347.12
200510,35668581.21,48927643.85
200511,25329538.92,42099355.76
200512,26604435.89,46481624.89
200601,29237889.92,42702821.20
200602,5385031.57,32373567.83
200603,2047906.31,35416135.86
200604,1994652.26,40900006.35
200605,2312303.30,35014337.22
200606,2846721.01,36914363.78
200607,2224142.61,38063478.70
200608,7183885.64,36615591.49
200609,9851139.91,48657130.08
200610,17581890.44,46491387.29
200611,7355551.53,67809488.05
200612,8125343.86,43601343.60
200701,15400777.30,48258692.31
200702,5272323.29,36208015.86
200703,7496094.40,33182414.44
200704,20452104.25,41634711.23
200705,13696254.38,37725951.85
200706,18196427.47,44324413.89
200707,22732986.39,47077183.10
200708,5851838.66,32834386.32
200709,7976510.42,35564437.24
200710,746037.40,39663049.10
200711,164650.51,36284193.68
200712,132958.65,35672767.54
200801,1268553.03,44911592.75
200802,4229992.83,32844305.89
200803,2564727.80,34572015.40
200804,7544151.47,40825284.37
200805,3145064.51,34732712.58
200806,4207754.89,34167781.48
200807,7973563.74,41217025.36
200808,4109059.95,41749574.34
200809,2999582.62,39113332.74
200810,6759312.64,56550651.23
200811,2257373.22,69611657.50
200812,2331607.13,36281614.15
200901,4755744.87,48318471.52
200902,49986.89,29030617.47
200903,96929.97,55886156.87
200904,70313.02,40356458.94
200905,181418.02,27936379.98
200906,73973.89,28535546.26
200907,71413.87,37692311.97
200908,111166.03,31897180.07
200909,47322.96,33431990.33
200910,101925.30,44656108.67
200911,64422.24,44516956.05
200912,41685.91,42090231.77
201001,153346.07,53791416.38
201002,668223.61,36085016.88
201003,191329.77,39569897.28
201004,384258.98,48351521.19
201005,164245.22,42623502.20
201006,263762.43,39626515.97
201007,450314.23,49331025.09
201008,130475.94,41509080.07
201009,186127.39,45155042.50
201010,577264.00,56379548.53
201011,172774.50,46828523.65
201012,199150.20,50382764.83
201101,971364.13,57912838.19
201102,330104.58,39754399.15
201103,1225667.92,43190259.47
201104,1122869.79,56421077.03
201105,375004.59,44426534.68
201106,460272.25,52704681.00
201107,1628162.21,73087911.66
201108,374011.60,49109100.37
201109,557589.61,53567835.90
201110,2631008.53,72771085.77
201111,467955.04,58403770.38
201112,1263003.64,58807724.78
201201,5475094.79,105748803.26
201202,1504376.16,112148629.43
201203,1552064.17,112546870.27
201204,7247667.60,98946522.16
201205,2106456.54,89296798.81
201206,1668632.34,94576081.51
201207,7241908.91,97806016.22
201208,2587695.32,96732062.37
201209,2733366.01,100532707.70
201210,8957019.27,141041434.74
201211,3527681.09,108713498.07
201212,3028740.57,107292556.55
201301,11154383.74,127993679.36
201302,12225961.92,102832823.78
201303,6998158.35,113149627.84
201304,11147181.14,116941334.57
201305,6789007.49,162522362.77
201306,7528666.15,150160704.73
201307,15122375.30,142162258.16
201308,7627969.17,131806349.95
201309,10172593.67,140049751.72
201310,25825415.94,160213117.05
201311,12369349.77,147689309.96
201312,11685197.23,164688183.08
201401,52755883.42,197621516.17
201402,77827048.05,150858110.75
201403,94902317.99,150149768.30
201404,160182221.15,164555521.65
201405,92259104.09,159925979.21
201406,90698616.70,165142772.05
201407,172802087.01,186476290.52
201408,93682932.79,172091931.39
201409,106458312.71,203783766.01
201410,231301766.23,235874611.36
201411,124634893.46,252112046.41
201412,134577972.82,225733402.59
201501,253562882.91,246882264.96
201502,132213184.01,216813660.18
201503,137054698.52,207689954.45
201504,271459232.89,244705886.79
