mes,indice_pimpf,ipca,taxa_selic,taxa_cambio,ibcbr,tjlp,pib_mensal,preco_brent,desembolso,debitos,arrecadacao
200401,104.0,0.76,16.32,136.19,98.59,10.0,1735331.5,31.18,1107.0,75412992.56,280680268.79
200402,103.1,0.61,16.3,139.84,99.45,10.0,1746819.2,30.87,2559.0,179152435.34,222566041.69
200403,113.0,0.47,16.19,138.89,111.98,10.0,1765492.2,33.80,4302.0,176424856.38,236544174.48
200404,107.8,0.37,15.96,138.85,107.36,9.75,1781058.0,33.36,5474.0,354079785.64,304884525.79
200405,108.9,0.51,15.77,148.25,106.03,9.75,1800951.1,37.92,5976.0,183660929.98,271579026.11
200406,113.1,0.71,15.8,149.04,107.0,9.75,1828299.9,35.19,7338.0,185362268.16,281451092.85
200407,110.9,0.91,15.77,143.11,111.47,9.75,1853700.2,38.37,8251.0,380813897.57,331607283.68
200408,113.2,0.69,15.86,140.62,110.65,9.75,1878059.7,43.03,8887.0,193690711.95,288109311.21
200409,107.6,0.33,16.09,135.23,109.21,9.75,1894202.4,43.38,9562.0,204886045.7,298805109.26
200410,103.8,0.44,16.41,133.55,108.89,9.75,1909813.0,49.82,11099.0,419120842.04,351138217.37
200411,108.6,0.69,16.96,129.6,109.59,9.75,1933090.2,43.05,12842.0,205347277.75,312843284.86
200412,108.9,0.86,17.5,124.9,107.56,9.75,1957751.2,39.64,15526.0,236295129.66,338828259.3
200501,105.4,0.58,17.93,123.29,103.52,9.75,1976732.7,44.28,2089.0,446217333.06,380228783.99
200502,103.3,0.59,18.47,118.92,104.0,9.75,1994573.0,45.56,3051.0,157373993.4,274164721.48
200503,101.0,0.61,18.97,124.02,115.42,9.75,2012678.1,53.08,4797.0,166495334.21,292167215.47
200504,105.4,0.87,19.32,118.03,112.35,9.75,2032903.2,51.86,5966.0,329413217.91,360016610.53
200505,104.9,0.49,19.61,111.59,110.86,9.75,2050901.0,48.67,7363.0,191073844.96,318191433.38
200506,105.6,-0.02,19.75,109.88,111.5,9.75,2066440.6,54.31,10274.0,192039175.57,319249344.61
200507,99.9,0.25,19.72,108.29,113.15,9.75,2079143.4,57.58,11523.0,345686489.68,382896533.87
200508,103.5,0.17,19.75,108.07,115.15,9.75,2097211.1,64.09,13512.0,185772544.35,334616127.46
200509,99.3,0.35,19.61,105.95,110.95,9.75,2114047.4,62.98,14681.0,201309372.93,349289767.26
200510,99.7,0.75,19.25,103.63,111.33,9.75,2132693.9,58.52,15620.0,365588935.91,419763994.98
200511,100.2,0.55,18.87,100.17,111.73,9.75,2150566.9,55.54,19479.0,202320385.99,357542481.89
200512,101.8,0.36,18.24,102.76,111.25,9.75,2170584.5,56.75,23033.0,229209342.11,377998835.67
200601,102.6,0.59,17.65,102.41,108.55,9.0,2192609.2,63.57,634.0,354468980.09,425143626.7
200602,104.6,0.41,17.28,97.17,107.8,9.0,2210389.7,59.92,1299.0,26295499.28,303217079.21
200603,104.5,0.43,16.74,96.84,119.09,9.0,2225144.4,62.25,2385.0,30025481.15,317292989.62
200604,98.1,0.21,16.19,96.43,112.61,8.15,2232996.0,70.44,4695.0,46170043.82,400611838.29
200605,104.5,0.1,15.7,99.03,117.19,8.15,2253373.6,70.19,6089.0,23676342.04,331814331.28
200606,99.6,-0.21,15.18,102.64,114.4,8.15,2271563.6,68.86,8477.0,26705531.6,349083531.94
200607,103.4,0.19,14.98,100.05,119.41,7.5,2294464.3,73.90,10937.0,50346783.26,399418783.82
200608,103.0,0.05,14.66,98.67,121.06,7.5,2317035.7,73.61,13812.0,128389963.62,348833390.83
200609,101.1,0.21,14.17,98.57,116.21,7.5,2336552.2,62.77,16059.0,144293941.42,398738861.55
200610,103.9,0.33,13.95,96.79,119.33,6.85,2361640.9,58.38,17890.0,281358134.16,452284441.0
200611,103.4,0.31,13.65,96.78,118.67,6.85,2386570.6,58.48,20484.0,142977671.46,417769423.45
200612,99.9,0.48,13.19,96.1,116.3,6.85,2409449.9,62.31,25663.0,166735313.96,430270677.13
200701,103.9,0.44,13.13,95.46,114.79,6.5,2435015.8,54.30,2254.0,295971352.15,479593389.89
200702,102.8,0.44,12.93,93.66,113.33,6.5,2459237.7,57.76,3334.0,114757058.51,341064335.66
200703,104.3,0.37,12.74,93.83,125.11,6.5,2486603.3,62.14,4943.0,118873182.49,362129873.53
200704,105.8,0.25,12.58,91.65,120.29,6.5,2516701.6,67.40,6426.0,335742018.16,466980548.71
200705,104.8,0.28,12.43,89.67,123.9,6.5,2545365.2,67.48,8118.0,179265434.26,408166625.56
200706,106.2,0.28,12.03,87.34,122.38,6.5,2575281.9,71.32,10614.0,193891517.7,417800763.87
200707,106.4,0.24,11.73,84.9,127.85,6.25,2602131.6,77.20,14002.0,349909317.03,500213075.77
200708,106.4,0.47,11.43,88.08,129.05,6.25,2627332.8,70.80,16539.0,58857328.78,413874821.12
200709,105.6,0.18,11.22,85.18,123.24,6.25,2649280.2,77.13,17718.0,62850477.41,420476405.95
200710,111.0,0.3,11.18,80.69,129.17,6.25,2676947.9,82.86,20108.0,14079345.58,542848409.75
200711,107.0,0.38,11.18,79.47,125.88,6.25,2699162.1,92.53,22884.0,4151501.98,464523858.14
200712,106.2,0.74,11.18,79.55,122.43,6.25,2720262.9,91.45,25395.0,4896851.1,479285198.62
200801,109.0,0.54,11.18,78.99,121.86,6.25,2746380.0,91.92,2090.0,15445504.01,593126166.27
200802,110.3,0.49,11.18,76.77,121.91,6.25,2776356.3,94.82,4056.0,60125550.79,428600081.8
200803,101.2,0.48,11.18,76.16,128.99,6.25,2800891.8,103.28,7439.0,53757577.62,464482762.82
200804,109.8,0.55,11.37,75.37,129.48,6.25,2834556.8,110.19,11493.0,144746540.5,545447564.85
200805,102.3,0.79,11.63,74.14,128.92,6.25,2862955.9,123.94,13341.0,69085068.37,487715071.6
200806,106.6,0.74,12.09,72.47,130.59,6.25,2899758.4,133.05,15125.0,64072405.47,482160889.66
200807,108.7,0.53,12.36,71.24,136.53,6.25,2944030.0,133.87,16684.0,155718888.81,622848364.73
200808,101.5,0.28,12.92,71.69,133.87,6.25,2978255.1,113.85,19329.0,37088574.02,527418242.77
200809,109.1,0.26,13.39,79.7,132.6,6.25,3020522.3,99.06,22708.0,39137169.34,537350743.9
200810,100.2,0.45,13.66,94.83,132.8,6.25,3059105.4,72.84,26752.0,62113696.82,676966702.09
200811,93.8,0.36,13.64,96.67,124.58,6.25,3087863.3,53.24,30116.0,36521183.71,539397278.5
200812,85.9,0.28,13.66,100.79,118.9,6.25,3109803.1,41.58,35710.0,33174340.07,488426723.76
200901,83.1,0.48,13.32,97.09,115.2,6.25,3122486.9,44.86,1970.0,53826204.36,594653488.37
200902,83.7,0.55,12.66,97.26,115.26,6.25,3133825.9,43.24,4464.0,1221748.36,396030805.25
200903,90.7,0.2,11.7,97.35,127.81,6.25,3153875.1,46.84,7713.0,1233353.9,435759203.81
200904,85.7,0.48,11.11,92.59,123.09,6.25,3164637.8,50.85,9970.0,1786915.27,536173617.67
200905,89.3,0.47,10.16,86.35,124.41,6.25,3178020.0,57.94,10976.0,1906121.77,425186577.08
200906,89.2,0.36,9.54,82.43,125.61,6.25,3187927.6,68.62,15410.0,2355333.37,410051279.24
200907,90.1,0.24,9.01,81.06,131.44,6.0,3195271.3,64.91,37157.0,2533187.03,545021650.22
200908,93.4,0.15,8.65,77.45,130.7,6.0,3210275.9,72.50,40562.0,2034501.21,437871610.15
200909,92.8,0.24,8.65,76.25,129.81,6.0,3228168.0,67.69,46883.0,2447553.35,460860506.23
200910,97.7,0.28,8.65,72.7,132.48,6.0,3249541.6,73.19,50612.0,5217694.33,620035252.89
200911,105.6,0.41,8.65,71.95,129.62,6.0,3283901.4,77.04,53930.0,3789860.96,588073745.21
200912,118.9,0.37,8.65,72.56,129.23,6.0,3333039.4,74.67,60302.0,2758394.84,543057479.74
201001,115.6,0.75,8.65,73.48,125.81,6.0,3372087.7,76.37,2048.0,4720682.24,678550405.7
201002,116.7,0.78,8.65,75.46,127.61,6.0,3413806.6,74.31,5157.0,5311616.77,444635725.93
201003,118.9,0.52,8.65,73.1,143.44,6.0,3463309.6,79.27,7589.0,3954919.73,518161126.48
201004,116.5,0.57,8.72,71.62,136.87,6.0,3510858.7,84.98,10327.0,13730568.55,701430725.2
201005,114.2,0.43,9.4,73.66,136.52,6.0,3558543.7,76.25,12944.0,4852942.68,556836081.29
201006,111.3,0.0,9.94,73.32,136.09,6.0,3603877.0,74.84,18062.0,7342600.0,575401510.59
201007,109.3,0.01,10.32,71.83,141.64,6.0,3650909.3,74.74,23354.0,14627103.8,741082019.15
201008,108.4,0.04,10.66,71.49,141.55,6.0,3700894.1,76.69,33187.0,6064172.72,612467803.84
201009,106.0,0.45,10.66,69.56,139.46,6.0,3748968.6,77.79,63744.0,8498668.56,651133337.58
201010,101.6,0.75,10.66,67.71,139.33,6.0,3792038.4,82.92,68720.0,15298896.44,819155076.33
201011,105.0,0.83,10.66,68.37,139.68,6.0,3843656.2,85.67,71989.0,8340561.89,683348825.36
201012,102.2,0.63,10.66,67.27,136.69,6.0,3885847.0,91.80,77255.0,12497740.22,706942292.35
201101,102.0,0.83,10.85,66.3,132.66,6.0,3930197.1,96.29,2559.0,33265580.61,926675480.65
201102,107.4,0.8,11.17,65.83,136.18,6.0,3979575.6,103.96,4722.0,14487530.61,582094038.22
201103,99.3,0.79,11.62,65.6,144.93,6.0,4015980.5,114.44,6950.0,20250428.4,677364035.11
201104,98.0,0.77,11.74,62.65,139.89,6.0,4058128.5,123.07,9631.0,39645324.84,801386261.42
201105,102.7,0.47,11.92,63.72,143.23,6.0,4108534.5,114.46,12717.0,18290831.9,654535905.83
201106,100.1,0.15,12.1,62.51,141.75,6.0,4158548.0,113.76,17236.0,22507909.93,693992105.38
201107,99.1,0.16,12.25,61.56,145.19,6.0,4199409.0,116.46,20467.0,33108016.75,880884146.86
201108,102.6,0.37,12.42,62.8,147.51,6.0,4242190.2,110.08,23296.0,20343534.56,743199960.21
201109,99.1,0.53,11.91,68.38,142.3,6.0,4272947.9,110.88,26194.0,19794044.84,790965963.92
201110,98.5,0.43,11.7,68.99,142.02,6.0,4306824.6,109.47,29458.0,50009215.29,944435698.74
201111,97.2,0.52,11.4,69.16,141.87,6.0,4340099.3,110.50,33994.0,35500787.44,787330107.96
201112,98.9,0.5,10.9,70.55,139.23,6.0,4376382.0,107.91,40270.0,25731785.86,778656888.35
201201,95.0,0.56,10.7,68.65,133.34,6.0,4410803.2,111.16,1532.0,77743630.39,1055713254.22
201202,93.4,0.45,10.4,65.85,135.35,6.0,4443538.2,119.70,3164.0,42127870.01,649509188.56
201203,95.2,0.21,9.82,69.24,146.35,6.0,4489323.3,124.93,6166.0,50508507.59,791530395.89
201204,94.6,0.64,9.35,71.17,139.85,6.0,4522649.4,120.46,9142.0,128207924.59,951281883.98
201205,95.1,0.36,8.87,75.78,144.56,6.0,4557310.8,110.52,11096.0,48476469.06,729740842.66
201206,95.2,0.08,8.39,78.16,142.28,6.0,4585734.8,95.59,14526.0,46620147.67,733130501.54
201207,98.5,0.43,8.07,76.97,147.46,5.5,4627786.4,103.14,22036.0,117135499.07,916258514.8
201208,101.1,0.41,7.85,77.11,149.91,5.5,4671512.3,113.34,27445.0,42173906.45,787917543.35
201209,99.2,0.57,7.39,76.99,141.6,5.5,4703853.4,113.38,32324.0,69089545.07,792004131.76
201210,105.4,0.59,7.23,76.56,147.71,5.5,4748418.4,111.97,36340.0,152183999.59,1003549483.57
201211,101.4,0.6,7.14,77.08,144.15,5.5,4782961.9,109.71,40124.0,70145425.69,858155465.55
201212,95.5,0.79,7.16,76.71,139.52,5.5,4814760.0,109.68,45861.0,78334496.69,854611432.89
201301,107.1,0.86,7.11,74.58,139.32,5.0,4861597.0,112.97,3230.0,214808852.58,1059379510.74
201302,98.9,0.6,7.12,72.56,136.14,5.0,4892861.3,116.52,6571.0,94058829.42,702426886.68
201303,98.9,0.47,7.15,72.85,148.01,5.0,4926899.9,109.24,13238.0,102786245.69,766648963.9
201304,111.8,0.55,7.26,73.03,149.79,5.0,4983754.8,102.88,19594.0,231846459.66,972255122.02
201305,103.9,0.37,7.42,74.12,147.03,5.0,5022338.3,103.03,25008.0,111592731.88,813345713.53
201306,104.4,0.26,7.9,79.09,144.87,5.0,5066354.6,103.11,28247.0,111864128.61,810712582.57
201307,104.2,0.03,8.23,81.99,152.13,5.0,5110552.6,107.72,32351.0,229390581.83,1024078732.59
201308,100.8,0.24,8.45,85.16,151.81,5.0,5144047.9,110.96,35517.0,108877868.7,836515162.34
201309,104.2,0.35,8.9,82.36,147.27,5.0,5190039.7,111.62,39357.0,112696046.68,832570393.31
201310,101.3,0.57,9.25,78.74,151.9,5.0,5235156.6,109.48,42961.0,317378207.41,1074759874.36
201311,101.1,0.54,9.45,82.02,147.79,5.0,5278966.6,108.08,46929.0,148504546.28,874696260.53
201312,97.8,0.92,9.9,83.0,145.77,5.0,5331619.0,110.67,53960.0,175305928.9,871084920.57
201401,97.5,0.55,10.17,84.08,142.72,5.0,5377591.2,107.42,4209.0,649502931.85,1066530884.38
201402,105.2,0.69,10.43,83.92,143.53,5.0,5434593.9,108.81,8329.0,544055437.82,707010465.31
201403,98.5,0.92,10.65,81.69,149.03,5.0,5475984.5,107.40,12178.0,617092787.98,745714126.34
201404,93.0,0.67,10.87,78.18,147.69,5.0,5512855.6,107.79,14905.0,1366287356.2,916331176.91
201405,95.7,0.46,10.9,77.65,147.14,5.0,5553873.9,109.68,16954.0,619618433.27,744841393.91
201406,92.0,0.4,10.9,78.0,140.88,5.0,5575724.7,111.87,21399.0,621340123.18,708902247.62
201407,95.5,0.01,10.9,77.55,149.85,5.0,5606410.4,106.98,24967.0,1345375323.79,876649539.36
201408,93.3,0.25,10.9,78.74,148.27,5.0,5638067.9,101.92,29701.0,616000256.03,1049695272.05
201409,97.0,0.57,10.9,80.59,148.12,5.0,5683716.3,97.34,34069.0,618996414.16,782526733.78
