mes,indice_pimpf,ipca,taxa_selic,taxa_cambio,ibcbr,tjlp,pib_mensal,preco_brent,desembolso,debitos,arrecadacao
2004-01-01 00:00:00,104.0,0.76,16.32,136.19,98.59,10.0,1735331.5,31.18,1107.0,730970151.84,6709728197.38
2004-02-01 00:00:00,103.1,0.61,16.3,139.84,99.45,10.0,1746819.2,30.87,2559.0,4150874441.76,5844143844.18
2004-03-01 00:00:00,113.0,0.47,16.19,138.89,111.98,10.0,1765492.2,33.8,4302.0,3778614348.15,5757594052.26
2004-04-01 00:00:00,107.8,0.37,15.96,138.85,107.36,9.75,1781058.0,33.36,5474.0,4927327281.54,7872112724.87
2004-05-01 00:00:00,108.9,0.51,15.77,148.25,106.03,9.75,1800951.1,37.92,5976.0,2175495525.08,7156122486.18
2004-06-01 00:00:00,113.1,0.71,15.8,149.04,107.0,9.75,1828299.9,35.19,7338.0,2078371021.4,7048867894.18
2004-07-01 00:00:00,110.9,0.91,15.77,143.11,111.47,9.75,1853700.2,38.37,8251.0,2531326742.62,8450280955.76
2004-08-01 00:00:00,113.2,0.69,15.86,140.62,110.65,9.75,1878059.7,43.03,8887.0,1900320314.96,7101401000.31
2004-09-01 00:00:00,107.6,0.33,16.09,135.23,109.21,9.75,1894202.4,43.38,9562.0,2038177171.23,7709141173.53
2004-10-01 00:00:00,103.8,0.44,16.41,133.55,108.89,9.75,1909813.0,49.82,11099.0,2499240580.37,8787191146.35
2004-11-01 00:00:00,108.6,0.69,16.96,129.6,109.59,9.75,1933090.2,43.05,12842.0,2125699332.07,6845525061.37
2004-12-01 00:00:00,108.9,0.86,17.5,124.9,107.56,9.75,1957751.2,39.64,15526.0,2509619881.37,7922471086.32
2005-01-01 00:00:00,105.4,0.58,17.93,123.29,103.52,9.75,1976732.7,44.28,2089.0,2991476281.61,9171568873.85
2005-02-01 00:00:00,103.3,0.59,18.47,118.92,104.0,9.75,1994573.0,45.56,3051.0,1883603437.97,6970913797.98
2005-03-01 00:00:00,101.0,0.61,18.97,124.02,115.42,9.75,2012678.1,53.08,4797.0,2541728506.27,7356127741.47
2005-04-01 00:00:00,105.4,0.87,19.32,118.03,112.35,9.75,2032903.2,51.86,5966.0,2865775194.99,9611372227.63
2005-05-01 00:00:00,104.9,0.49,19.61,111.59,110.86,9.75,2050901.0,48.67,7363.0,2254299807.52,7820800673.18
2005-06-01 00:00:00,105.6,-0.02,19.75,109.88,111.5,9.75,2066440.6,54.31,10274.0,2480066385.61,7480433753.36
2005-07-01 00:00:00,99.9,0.25,19.72,108.29,113.15,9.75,2079143.4,57.58,11523.0,3324322708.25,8976327089.48
2005-08-01 00:00:00,103.5,0.17,19.75,108.07,115.15,9.75,2097211.1,64.09,13512.0,2183455425.52,7829659673.51
2005-09-01 00:00:00,99.3,0.35,19.61,105.95,110.95,9.75,2114047.4,62.98,14681.0,2431266772.14,8007888650.95
2005-10-01 00:00:00,99.7,0.75,19.25,103.63,111.33,9.75,2132693.9,58.52,15620.0,2936053274.59,10555158444.11
2005-11-01 00:00:00,100.2,0.55,18.87,100.17,111.73,9.75,2150566.9,55.54,19479.0,2416446356.47,8605337373.05
2005-12-01 00:00:00,101.8,0.36,18.24,102.76,111.25,9.75,2170584.5,56.75,23033.0,2971299381.99,9034476870.79
2006-01-01 00:00:00,102.6,0.59,17.65,102.41,108.55,9.0,2192609.2,63.57,634.0,2550451510.98,9406721778.92
2006-02-01 00:00:00,104.6,0.41,17.28,97.17,107.8,9.0,2210389.7,59.92,1299.0,497551187.27,7451864843.97
2006-03-01 00:00:00,104.5,0.43,16.74,96.84,119.09,9.0,2225144.4,62.25,2385.0,626975241.22,7624398172.33
2006-04-01 00:00:00,98.1,0.21,16.19,96.43,112.61,8.15,2232996.0,70.44,4695.0,794885115.43,10942206553.01
2006-05-01 00:00:00,104.5,0.1,15.7,99.03,117.19,8.15,2253373.6,70.19,6089.0,516722422.3,8144581527.96
2006-06-01 00:00:00,99.6,-0.21,15.18,102.64,114.4,8.15,2271563.6,68.86,8477.0,470017128.06,9264326449.33
2006-07-01 00:00:00,103.4,0.19,14.98,100.05,119.41,7.5,2294464.3,73.9,10937.0,526437546.15,10560974784.82
2006-08-01 00:00:00,103.0,0.05,14.66,98.67,121.06,7.5,2317035.7,73.61,13812.0,550354613.23,9445101991.4
2006-09-01 00:00:00,101.1,0.21,14.17,98.57,116.21,7.5,2336552.2,62.77,16059.0,655915287.67,9889737653.44
2006-10-01 00:00:00,103.9,0.33,13.95,96.79,119.33,6.85,2361640.9,58.38,17890.0,959796864.81,11956385043.26
2006-11-01 00:00:00,103.4,0.31,13.65,96.78,118.67,6.85,2386570.6,58.48,20484.0,718057562.8,8401068357.04
2006-12-01 00:00:00,99.9,0.48,13.19,96.1,116.3,6.85,2409449.9,62.31,25663.0,735241374.52,9388676443.9
2007-01-01 00:00:00,103.9,0.44,13.13,95.46,114.79,6.5,2435015.8,54.3,2254.0,1040282254.54,10502817896.87
2007-02-01 00:00:00,102.8,0.44,12.93,93.66,113.33,6.5,2459237.7,57.76,3334.0,354021887.48,8221937399.11
2007-03-01 00:00:00,104.3,0.37,12.74,93.83,125.11,6.5,2486603.3,62.14,4943.0,774988026.23,8911548842.87
2007-04-01 00:00:00,105.8,0.25,12.58,91.65,120.29,6.5,2516701.6,67.4,6426.0,1936649581.44,11649677480.69
2007-05-01 00:00:00,104.8,0.28,12.43,89.67,123.9,6.5,2545365.2,67.48,8118.0,1654970577.4,9913936561.52
2007-06-01 00:00:00,106.2,0.28,12.03,87.34,122.38,6.5,2575281.9,71.32,10614.0,1771629821.84,8643641828.4
2007-07-01 00:00:00,106.4,0.24,11.73,84.9,127.85,6.25,2602131.6,77.2,14002.0,1925504259.15,11009517140.5
2007-08-01 00:00:00,106.4,0.47,11.43,88.08,129.05,6.25,2627332.8,70.8,16539.0,1545341465.88,9485317359.12
2007-09-01 00:00:00,105.6,0.18,11.22,85.18,123.24,6.25,2649280.2,77.13,17718.0,1613820844.49,11310324259.01
2007-10-01 00:00:00,111.0,0.3,11.18,80.69,129.17,6.25,2676947.9,82.86,20108.0,32857264.77,12266415516.27
2007-11-01 00:00:00,107.0,0.38,11.18,79.47,125.88,6.25,2699162.1,92.53,22884.0,35933349.61,10579388933.32
2007-12-01 00:00:00,106.2,0.74,11.18,79.55,122.43,6.25,2720262.9,91.45,25395.0,13224240.58,11771379127.99
2008-01-01 00:00:00,109.0,0.54,11.18,78.99,121.86,6.25,2746380.0,91.92,2090.0,52052718.52,13420907957.6
2008-02-01 00:00:00,110.3,0.49,11.18,76.77,121.91,6.25,2776356.3,94.82,4056.0,288737667.62,10150420476.66
2008-03-01 00:00:00,101.2,0.48,11.18,76.16,128.99,6.25,2800891.8,103.28,7439.0,605631382.68,10790327831.11
2008-04-01 00:00:00,109.8,0.55,11.37,75.37,129.48,6.25,2834556.8,110.19,11493.0,461712828.25,14428838518.68
2008-05-01 00:00:00,102.3,0.79,11.63,74.14,128.92,6.25,2862955.9,123.94,13341.0,356434431.97,10766188261.63
2008-06-01 00:00:00,106.6,0.74,12.09,72.47,130.59,6.25,2899758.4,133.05,15125.0,427911419.05,11460792813.19
2008-07-01 00:00:00,108.7,0.53,12.36,71.24,136.53,6.25,2944030.0,133.87,16684.0,467349998.46,16087985720.94
2008-08-01 00:00:00,101.5,0.28,12.92,71.69,133.87,6.25,2978255.1,113.85,19329.0,476095196.56,12822887910.71
2008-09-01 00:00:00,109.1,0.26,13.39,79.7,132.6,6.25,3020522.3,99.06,22708.0,416678187.27,12903039844.12
2008-10-01 00:00:00,100.2,0.45,13.66,94.83,132.8,6.25,3059105.4,72.84,26752.0,528265358.94,18957474172.17
2008-11-01 00:00:00,93.8,0.36,13.64,96.67,124.58,6.25,3087863.3,53.24,30116.0,430156390.82,11717922141.84
2008-12-01 00:00:00,85.9,0.28,13.66,100.79,118.9,6.25,3109803.1,41.58,35710.0,338684085.5,9307520002.51
2009-01-01 00:00:00,83.1,0.48,13.32,97.09,115.2,6.25,3122486.9,44.86,1970.0,372389636.88,11677190617.56
2009-02-01 00:00:00,83.7,0.55,12.66,97.26,115.26,6.25,3133825.9,43.24,4464.0,1069391164.73,6937322465.17
2009-03-01 00:00:00,90.7,0.2,11.7,97.35,127.81,6.25,3153875.1,46.84,7713.0,1886949705.95,8782628448.15
2009-04-01 00:00:00,85.7,0.48,11.11,92.59,123.09,6.25,3164637.8,50.85,9970.0,1624697917.7,11208898539.21
2009-05-01 00:00:00,89.3,0.47,10.16,86.35,124.41,6.25,3178020.0,57.94,10976.0,1363053481.41,8999738246.82
