mes;preco_brent
1979M01;18,95
1979M02;22,00
1979M03;23,25
1979M04;23,65
1979M05;32,75
1979M06;36,50
1979M07;35,00
1979M08;35,75
1979M09;36,50
1979M10;38,50
1979M11;42,00
1979M12;40,50
1980M01;40,00
1980M02;38,50
1980M03;38,25
1980M04;38,15
1980M05;38,50
1980M06;38,00
1980M07;37,40
1980M08;33,60
1980M09;33,40
1980M10;37,90
1980M11;40,85
1980M12;40,15
1981M01;40,30
1981M02;38,70
1981M03;38,35
1981M04;37,19
1981M05;35,19
1981M06;33,25
1981M07;35,06
1981M08;35,80
1981M09;35,91
1981M10;36,54
1981M11;37,12
1981M12;36,70
1982M01;35,85
1982M02;31,62
1982M03;29,30
1982M04;33,12
1982M05;35,18
1982M06;34,60
1982M07;33,70
1982M08;32,85
1982M09;34,25
1982M10;35,00
1982M11;33,80
1982M12;31,75
1983M01;30,85
1983M02;29,10
1983M03;28,20
1983M04;29,75
1983M05;29,60
1983M06;30,20
1983M07;30,80
1983M08;31,10
1983M09;30,35
1983M10;29,85
1983M11;29,20
1983M12;28,95
1984M01;29,56
1984M02;29,88
1984M03;30,08
1984M04;30,13
1984M05;29,90
1984M06;29,20
1984M07;27,91
1984M08;28,11
1984M09;28,36
1984M10;27,81
1984M11;27,70
1984M12;26,98
1985M01;26,95
1985M02;28,20
1985M03;28,10
1985M04;27,90
1985M05;26,65
1985M06;26,45
1985M07;26,60
1985M08;27,15
1985M09;27,15
1985M10;27,90
1985M11;29,05
1985M12;25,85
1986M01;25,75
1986M02;17,55
1986M03;13,85
1986M04;12,50
1986M05;14,20
1986M06;11,85
1986M07;9,45
1986M08;13,65
1986M09;14,20
1986M10;13,80
1986M11;14,55
1986M12;15,90
1987M01;18,40
1987M02;17,30
1987M03;17,90
1987M04;18,10
1987M05;18,75
1987M06;18,85
1987M07;19,80
1987M08;18,95
1987M09;18,35
1987M10;18,80
1987M11;17,80
1987M12;17,10
1988M01;16,85
1988M02;15,75
1988M03;14,75
1988M04;16,60
1988M05;16,40
1988M06;15,55
1988M07;14,90
1988M08;14,95
1988M09;13,30
1988M10;12,45
1988M11;13,00
1988M12;15,15
1989M01;17,00
1989M02;16,65
1989M03;18,70
1989M04;19,75
1989M05;18,35
1989M06;17,50
1989M07;17,75
1989M08;17,10
1989M09;17,80
1989M10;19,00
1989M11;19,15
1989M12;19,85
1990M01;20,95
1990M02;19,90
1990M03;18,45
1990M04;16,75
1990M05;16,70
1990M06;15,70
1990M07;17,55
1990M08;27,05
1990M09;34,10
1990M10;36,05
1990M11;33,00
1990M12;28,00
1991M01;23,65
1991M02;19,40
1991M03;19,45
1991M04;19,25
1991M05;19,30
1991M06;18,20
1991M07;19,45
1991M08;19,75
1991M09;20,50
1991M10;22,20
1991M11;21,25
1991M12;18,40
1992M01;18,15
1992M02;18,10
1992M03;17,60
1992M04;18,95
1992M05;19,90
1992M06;21,15
1992M07;20,25
